"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page813.html\" target=\"_self\" id=\"wp_menubar0_P9_I0\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P9_I0"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<a href=\"page811.html\" target=\"_self\" id=\"wp_menubar0_P9_I1\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P9_I1"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<a href=\"page811.html\" target=\"_self\" id=\"wp_menubar0_P9_I1\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P9_I1"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<a href=\"page811.html\" target=\"_self\" id=\"wp_menubar0_P9_I1\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P9_I1"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page811.html\" target=\"_self\" id=\"wp_menubar0_P9_I1\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P9_I1"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<a href=\"page810.html\" target=\"_self\" id=\"wp_menubar0_P9_I2\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P9_I2"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<a href=\"page810.html\" target=\"_self\" id=\"wp_menubar0_P9_I2\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P9_I2"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOut","Ensure the functionality provided by mousing out of this element is available through the keyboard; for instance, using the blur event.","warning","<a href=\"page810.html\" target=\"_self\" id=\"wp_menubar0_P9_I2\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P9_I2"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"page810.html\" target=\"_self\" id=\"wp_menubar0_P9_I2\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Su...","#wp_menubar0_P9_I2"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.G90","Ensure the functionality provided by an event handler for this element is available through the keyboard","warning","<a href=\"page89.html\" target=\"_self\" id=\"wp_menubar0_P9_I3\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Sub...","#wp_menubar0_P9_I3"
"WCAG2AAA.Principle2.Guideline2_1.2_1_1.SCR20.MouseOver","Ensure the functionality provided by mousing over this element is available through the keyboard; for instance, using the focus event.","warning","<a href=\"page89.html\" target=\"_self\" id=\"wp_menubar0_P9_I3\" style=\"display:block;color:#294637;font-size:16px;font-family:Trebuchet MS,serif;text-decoration:none;background-color:#c0dcd6;padding:3px 10px 3px 10px;text-align:left;\" onmouseover=\"wp_Sub...","#wp_menubar0_P9_I3"
