"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Hollins Grove Doctors Surgery</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html class=\" js canvas rgba borderradius boxshadow textshadow opacity cssanimations cssgradients csstransitions   js\"><head>\n<meta http-equiv=\"X-UA-C...</html>","html"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<span style=\"font-size: 72px;\">&nbsp;Dr Zaki's Surgery</span>","#webs-bin-517545330cf20584e97a625b > div > div > div > div:nth-child(1) > div > div > div > span"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","error","<img class=\"w-header-image\" src=\"https://hollinsgrovesurgery.webs.com/NHS_Logo%5B1%5D.jpg\">","#webs-bin-517545330cf20584e97a625b > div > div > div > div:nth-child(2) > div > img"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img class=\"w-header-image\" src=\"https://hollinsgrovesurgery.webs.com/NHS_Logo%5B1%5D.jpg\">","#webs-bin-517545330cf20584e97a625b > div > div > div > div:nth-child(2) > div > img"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<span style=\"color: rgb(79, 18, 221); font-size: 1.2em;\">Hollins Grove Doctors Surgery</span>","#webs-bin-517545330cf20584e97a625b > div > div > div > div:nth-child(3) > div > h1 > div > span > span"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://hollinsgrovesurgery.webs.com/\" title=\"Home\"><span class=\"title\">Home</span>...</a>","#webs-nav > li:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"title\">Home</span>","#webs-nav > li:nth-child(1) > a > span:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://hollinsgrovesurgery.webs.com/about-us\" title=\"About Us\"><span class=\"title\">About Us</s...</a>","#webs-nav > li:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"title\">About Us</span>","#webs-nav > li:nth-child(2) > a > span:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://hollinsgrovesurgery.webs.com/hollins-grove-news\" title=\"Hollins Grove News\"><span class=\"title\">Hollins Gro...</a>","#webs-nav > li:nth-child(3) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"title\">Hollins Grove News</span>","#webs-nav > li:nth-child(3) > a > span:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://hollinsgrovesurgery.webs.com/appointments-prescriptions\" title=\"Appointments/Prescriptions\"><span class=\"title\">Appointment...</a>","#webs-nav > li:nth-child(4) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"title\">Appointments/Prescriptions</span>","#webs-nav > li:nth-child(4) > a > span:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://hollinsgrovesurgery.webs.com/reviews-and-ratings\" title=\"Reviews and Ratings\"><span class=\"title\">Reviews and...</a>","#webs-nav > li:nth-child(5) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"title\">Reviews and Ratings</span>","#webs-nav > li:nth-child(5) > a > span:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"#\" onclick=\"return false;\"><span class=\"title\">More</span>...</a>","#webs-nav > li:nth-child(6) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<span class=\"title\">More</span>","#webs-nav > li:nth-child(6) > a > span:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://hollinsgrovesurgery.webs.com/how-to-register\" title=\"How to Register\"><span class=\"title\">How to Regi...</a>","#webs-nav > li:nth-child(6) > ul > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://hollinsgrovesurgery.webs.com/services-provided\" title=\"Services Provided\"><span class=\"title\">Services Pr...</a>","#webs-nav > li:nth-child(6) > ul > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://hollinsgrovesurgery.webs.com/surgery-policies\" title=\"Surgery Policies\"><span class=\"title\">Surgery Pol...</a>","#webs-nav > li:nth-child(6) > ul > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://hollinsgrovesurgery.webs.com/contact-us\" title=\"Contact Us\"><span class=\"title\">Contact Us<...</a>","#webs-nav > li:nth-child(6) > ul > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"https://hollinsgrovesurgery.webs.com/useful-contacts\" title=\"Useful Contacts\"><span class=\"title\">Useful Cont...</a>","#webs-nav > li:nth-child(6) > ul > li:nth-child(5) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<div class=\"w-text \">Home</div>","#webs-bin-517545380cf20584e97a627a > div > div > h3 > div"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<span class=\"wz-bold\" style=\"color: rgb(54, 12, 244); font-size: 2.21em;\">Welcome to the home of </span>","#webs-bin-517558e60cf2c0a1590c9ed2 > div > div > h3 > div > div:nth-child(1) > span > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G18.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.","warning","<span class=\"wz-bold\" style=\"color: rgb(54, 12, 244); font-size: 2.21em;\">Welcome to the home of </span>","#webs-bin-517558e60cf2c0a1590c9ed2 > div > div > h3 > div > div:nth-child(1) > span > span"
"WCAG2AAA.Principle1.Guideline1_4.1_4_3_F24.F24.FGColour","Check that this element has an inherited background colour or image to complement the corresponding inline foreground colour.","warning","<span class=\"wz-bold\" style=\"color: rgb(54, 12, 244); font-size: 2.21em;\">Hollins Grove Doctors Surgery</span>","#webs-bin-517558e60cf2c0a1590c9ed2 > div > div > h3 > div > div:nth-child(2) > span > span"
